iter	Passed	Remaining
923	5651	6580
924	5656	6573
925	5662	6567
926	5667	6560
927	5673	6553
928	5679	6547
929	5684	6540
930	5690	6533
931	5695	6527
932	5701	6520
933	5707	6513
934	5712	6507
935	5718	6500
936	5724	6493
937	5729	6486
938	5735	6480
939	5740	6473
940	5746	6467
941	5752	6461
942	5759	6455
943	5765	6449
944	5772	6444
945	5778	6437
946	5784	6432
947	5790	6425
948	5796	6419
949	5802	6412
950	5807	6406
951	5813	6399
952	5819	6393
953	5825	6386
954	5831	6381
955	5837	6374
956	5842	6367
957	5848	6361
958	5854	6355
959	5860	6348
960	5865	6342
961	5871	6335
962	5877	6329
963	5883	6322
964	5888	6315
965	5893	6308
966	5899	6301
967	5904	6294
968	5909	6287
969	5915	6281
970	5921	6274
971	5926	6268
972	5932	6261
973	5938	6255
974	5955	6261
975	5961	6254
976	5967	6248
977	5974	6243
978	5980	6237
979	5986	6230
980	5991	6223
981	5997	6217
982	6002	6210
983	6008	6203
984	6014	6197
985	6019	6190
986	6024	6183
987	6030	6176
988	6035	6170
989	6040	6163
990	6046	6156
991	6051	6149
992	6056	6142
993	6062	6136
994	6068	6129
995	6073	6122
996	6079	6115
997	6084	6109
998	6090	6102
999	6095	6095
1000	6100	6088
1001	6105	6081
1002	6110	6074
1003	6115	6067
1004	6120	6059
1005	6126	6052
1006	6131	6046
1007	6136	6039
1008	6141	6032
1009	6147	6025
1010	6153	6019
1011	6159	6013
1012	6165	6006
1013	6171	6000
1014	6177	5994
1015	6182	5988
1016	6189	5982
1017	6194	5975
1018	6200	5969
1019	6206	5963
1020	6212	5957
1021	6218	5950
1022	6223	5943
1023	6229	5937
1024	6234	5930
1025	6240	5924
1026	6245	5917
1027	6250	5910
1028	6256	5903
1029	6261	5896
1030	6267	5890
1031	6273	5884
1032	6278	5877
1033	6283	5870
1034	6289	5863
1035	6294	5856
1036	6299	5849
1037	6304	5842
1038	6309	5836
1039	6315	5829
1040	6320	5822
1041	6326	5816
1042	6332	5810
1043	6337	5803
1044	6342	5796
1045	6348	5789
1046	6353	5783
1047	6358	5776
1048	6364	5769
1049	6369	5763
1050	6375	5756
1051	6380	5749
1052	6386	5743
1053	6391	5736
1054	6397	5730
1055	6403	5724
1056	6409	5718
1057	6415	5711
1058	6420	5705
1059	6426	5698
1060	6432	5692
1061	6438	5686
1062	6444	5680
1063	6450	5674
1064	6456	5668
1065	6462	5662
1066	6467	5655
1067	6474	5649
1068	6479	5642
1069	6484	5636
1070	6490	5630
1071	6496	5623
1072	6501	5616
1073	6507	5610
1074	6512	5603
1075	6517	5597
1076	6523	5590
1077	6528	5583
1078	6533	5577
1079	6539	5570
1080	6544	5563
1081	6550	5557
1082	6555	5550
1083	6561	5544
1084	6566	5537
1085	6571	5530
1086	6577	5524
1087	6582	5517
1088	6588	5511
1089	6593	5504
1090	6599	5498
1091	6604	5491
1092	6610	5485
1093	6615	5478
1094	6620	5471
1095	6626	5465
1096	6631	5458
1097	6636	5452
1098	6642	5445
1099	6647	5438
1100	6652	5432
1101	6658	5425
1102	6664	5419
1103	6669	5412
1104	6674	5406
1105	6679	5399
1106	6685	5393
1107	6691	5386
1108	6696	5380
1109	6701	5373
1110	6707	5366
1111	6712	5360
1112	6718	5354
1113	6724	5348
1114	6730	5342
1115	6736	5336
1116	6742	5329
1117	6748	5323
1118	6753	5317
1119	6759	5310
1120	6764	5304
1121	6770	5297
1122	6776	5291
1123	6781	5285
1124	6787	5278
1125	6792	5272
1126	6797	5265
1127	6803	5259
1128	6809	5253
1129	6814	5246
1130	6819	5239
1131	6825	5233
1132	6830	5226
1133	6836	5220
1134	6841	5214
1135	6847	5207
1136	6852	5201
1137	6858	5194
1138	6863	5188
1139	6868	5181
1140	6874	5175
1141	6879	5168
1142	6885	5162
1143	6891	5156
1144	6896	5149
1145	6901	5143
1146	6907	5136
1147	6912	5130
1148	6918	5123
1149	6923	5117
1150	6929	5111
1151	6934	5104
1152	6940	5098
1153	6945	5092
1154	6955	5088
1155	6971	5089
1156	6977	5083
1157	6983	5077
1158	6990	5072
1159	6996	5066
1160	7002	5060
1161	7008	5054
1162	7014	5048
1163	7019	5041
1164	7025	5035
1165	7031	5029
1166	7036	5022
1167	7042	5016
1168	7047	5009
1169	7052	5003
1170	7058	4996
1171	7063	4990
1172	7069	4983
1173	7074	4977
1174	7079	4970
1175	7085	4964
1176	7091	4958
1177	7096	4951
1178	7101	4945
1179	7106	4938
1180	7112	4932
1181	7117	4925
1182	7123	4919
1183	7129	4913
1184	7134	4906
1185	7140	4900
1186	7145	4894
1187	7151	4888
1188	7157	4882
1189	7163	4875
1190	7169	4869
1191	7174	4863
1192	7180	4857
1193	7186	4851
1194	7191	4844
1195	7197	4838
1196	7203	4832
1197	7209	4826
1198	7215	4820
1199	7220	4813
1200	7226	4807
1201	7231	4801
1202	7237	4794
1203	7242	4788
1204	7248	4782
1205	7254	4775
1206	7259	4769
1207	7264	4763
1208	7270	4756
1209	7275	4750
1210	7281	4744
1211	7287	4737
1212	7292	4731
1213	7297	4724
1214	7303	4718
1215	7308	4712
1216	7314	4705
1217	7320	4699
1218	7325	4693
1219	7331	4687
1220	7336	4680
1221	7342	4674
1222	7348	4668
1223	7353	4662
1224	7358	4655
1225	7364	4649
1226	7369	4642
1227	7375	4636
1228	7380	4630
1229	7386	4623
1230	7391	4617
1231	7397	4611
1232	7403	4605
1233	7409	4599
1234	7414	4592
1235	7419	4586
1236	7425	4580
1237	7431	4574
1238	7437	4568
1239	7442	4561
1240	7448	4555
1241	7454	4549
1242	7460	4543
1243	7466	4537
1244	7472	4531
1245	7478	4525
1246	7483	4519
1247	7489	4512
1248	7494	4506
1249	7500	4500
1250	7506	4494
1251	7511	4487
1252	7517	4481
1253	7522	4475
1254	7528	4469
1255	7534	4463
1256	7540	4456
1257	7546	4450
1258	7552	4445
1259	7558	4439
1260	7564	4433
1261	7571	4427
1262	7577	4421
1263	7584	4416
1264	7591	4410
1265	7598	4405
1266	7604	4399
1267	7611	4394
1268	7617	4388
1269	7625	4383
1270	7632	4377
1271	7639	4372
1272	7646	4366
1273	7653	4361
1274	7661	4356
1275	7680	4357
1276	7687	4352
1277	7695	4347
1278	7702	4342
1279	7710	4336
1280	7716	4331
1281	7725	4326
1282	7732	4321
1283	7740	4316
1284	7748	4311
1285	7755	4305
1286	7761	4299
1287	7768	4294
1288	7775	4288
1289	7781	4282
1290	7788	4277
1291	7799	4274
1292	7806	4268
1293	7812	4262
1294	7819	4257
1295	7834	4255
1296	7846	4252
1297	7853	4247
1298	7858	4240
1299	7864	4234
1300	7869	4228
1301	7875	4221
1302	7880	4215
1303	7886	4209
1304	7892	4203
1305	7898	4197
1306	7904	4191
1307	7910	4184
1308	7915	4178
1309	7921	4172
1310	7928	4166
1311	7936	4162
1312	7944	4156
1313	7950	4150
1314	7956	4144
1315	7977	4146
1316	7983	4140
1317	7989	4134
1318	7995	4128
1319	8002	4122
1320	8008	4116
1321	8015	4110
1322	8021	4104
1323	8027	4098
1324	8034	4092
1325	8040	4086
1326	8046	4080
1327	8052	4074
1328	8059	4069
1329	8066	4063
1330	8072	4057
1331	8080	4052
1332	8086	4046
1333	8094	4040
1334	8100	4035
1335	8107	4029
1336	8114	4023
1337	8120	4017
1338	8126	4011
1339	8132	4005
1340	8139	3999
1341	8145	3993
1342	8151	3987
1343	8156	3981
1344	8162	3975
1345	8168	3968
1346	8174	3962
1347	8180	3956
1348	8186	3950
1349	8191	3944
1350	8197	3938
1351	8203	3931
1352	8208	3925
1353	8214	3919
1354	8220	3912
1355	8225	3906
1356	8231	3900
1357	8236	3894
1358	8242	3887
1359	8248	3881
1360	8253	3875
1361	8259	3868
1362	8265	3862
1363	8270	3856
1364	8277	3850
1365	8283	3844
1366	8288	3838
1367	8294	3831
1368	8300	3825
1369	8306	3819
1370	8313	3814
1371	8319	3808
1372	8326	3802
1373	8332	3796
1374	8338	3790
1375	8345	3784
1376	8351	3778
1377	8357	3772
1378	8363	3766
1379	8369	3760
1380	8375	3754
1381	8381	3747
1382	8387	3741
1383	8393	3735
1384	8399	3729
1385	8405	3723
1386	8411	3717
1387	8417	3711
1388	8423	3705
1389	8429	3699
1390	8435	3692
1391	8440	3686
1392	8446	3680
1393	8452	3674
1394	8458	3668
1395	8463	3661
1396	8468	3655
1397	8474	3649
1398	8479	3642
1399	8485	3636
1400	8491	3630
1401	8496	3624
1402	8502	3617
1403	8507	3611
1404	8513	3605
1405	8518	3598
1406	8524	3592
1407	8529	3586
1408	8535	3580
1409	8542	3574
1410	8547	3568
1411	8553	3561
1412	8558	3555
1413	8564	3549
1414	8569	3543
1415	8575	3536
1416	8580	3530
1417	8586	3524
1418	8591	3517
1419	8596	3511
1420	8602	3505
1421	8607	3498
1422	8613	3492
1423	8619	3486
1424	8625	3480
1425	8631	3474
1426	8637	3468
1427	8644	3462
1428	8650	3456
1429	8657	3450
1430	8664	3445
1431	8671	3439
1432	8678	3433
1433	8685	3428
1434	8692	3422
1435	8698	3416
1436	8705	3410
1437	8712	3405
1438	8719	3399
1439	8726	3393
1440	8738	3389
1441	8744	3383
1442	8750	3377
1443	8756	3371
